"id","entidad_federativa","municipio"
"4040","09","275"
"4100","09","275"
"4110","09","275"
"4120","09","275"
"4129","09","275"
"4200","09","275"
"4210","09","275"
"4230","09","275"
"4239","09","275"
"4240","09","275"
"4250","09","275"
"4259","09","275"
"4260","09","275"
"4270","09","275"
"4280","09","275"
"4300","09","275"
"4307","09","275"
"4309","09","275"
"4310","09","275"
"4317","09","275"
"4318","09","275"
"4319","09","275"
"4320","09","275"
"4326","09","275"
"4327","09","275"
"4330","09","275"
"4336","09","275"
"4337","09","275"
"4338","09","275"
"4340","09","275"
"4350","09","275"
"4359","09","275"
"4360","09","275"
"4368","09","275"
"4369","09","275"
"4370","09","275"
"4380","09","275"
"4390","09","275"
"4400","09","275"
"4410","09","275"
"4420","09","275"
"4440","09","275"
"4450","09","275"
"4460","09","275"
"4470","09","275"
"4480","09","275"
"4489","09","275"
"4490","09","275"
"4500","09","275"
"4510","09","275"
"4513","09","275"
"4519","09","275"
"4530","09","275"
"4535","09","275"
"4600","09","275"
"4610","09","275"
"4620","09","275"
"4630","09","275"
"4640","09","275"
"4650","09","275"
"4660","09","275"
"4700","09","275"
"4710","09","275"
"4718","09","275"
"4719","09","275"
"4720","09","275"
"4729","09","275"
"4730","09","275"
"4738","09","275"
"4739","09","275"
"4800","09","275"
"4810","09","275"
"4815","09","275"
"4830","09","275"
"4840","09","275"
"4843","09","275"
"4849","09","275"
"4850","09","275"
"4859","09","275"
"4870","09","275"
"4890","09","275"
"4899","09","275"
"4908","09","275"
"4909","09","275"
"4910","09","275"
"4918","09","275"
"4919","09","275"
"4920","09","275"
"4921","09","275"
"4929","09","275"
"4930","09","275"
"4938","09","275"
"4939","09","275"
"4940","09","275"
"4950","09","275"
"4960","09","275"
"4970","09","275"
"4980","09","275"
"5000","09","276"
"5009","09","276"
"5010","09","276"
"5020","09","276"
"5030","09","276"
"5039","09","276"
"5050","09","276"
"5060","09","276"
"5100","09","276"
"5110","09","276"
"5118","09","276"
"5119","09","276"
"5120","09","276"
"5126","09","276"
"5128","09","276"
"5129","09","276"
"5130","09","276"
"5200","09","276"
"5214","09","276"
"5219","09","276"
"5220","09","276"
"5230","09","276"
"5238","09","276"
"5240","09","276"
"5249","09","276"
"5260","09","276"
"5268","09","276"
"5269","09","276"
"5270","09","276"
"5280","09","276"
"5310","09","276"
"5320","09","276"
"5330","09","276"
"5348","09","276"
"5349","09","276"
"5360","09","276"
"5370","09","276"
"5379","09","276"
"5400","09","276"
"5410","09","276"
"5500","09","276"
"5520","09","276"
"5530","09","276"
"5600","09","276"
"5610","09","276"
"5619","09","276"
"5620","09","276"
"5700","09","276"
"5710","09","276"
"5730","09","276"
"5750","09","276"
"5760","09","276"
"5780","09","276"
"6000","09","287"
"6007","09","287"
"6010","09","287"
"6018","09","287"
"6020","09","287"
"6030","09","287"
"6038","09","287"
"6039","09","287"
"6040","09","287"
"6050","09","287"
"6057","09","287"
"6058","09","287"
"6060","09","287"
"6065","09","287"
"6066","09","287"
"6067","09","287"
"6068","09","287"
"6070","09","287"
"6079","09","287"
"6080","09","287"
"6090","09","287"
"6100","09","287"
"6140","09","287"
"6170","09","287"
"6171","09","287"
"6179","09","287"
"6199","09","287"
"6200","09","287"
"6220","09","287"
"6240","09","287"
"6250","09","287"
"6270","09","287"
"6280","09","287"
"6300","09","287"
"6309","09","287"
"6350","09","287"
"6357","09","287"
"6400","09","287"
"6430","09","287"
"6450","09","287"
"6470","09","287"
"6479","09","287"
"6500","09","287"
"6589","09","287"
"6597","09","287"
"6598","09","287"
"6599","09","287"
"6600","09","287"
"6606","09","287"
"6609","09","287"
"6691","09","287"
"6692","09","287"
"6693","09","287"
"6694","09","287"
"6695","09","287"
"6696","09","287"
"6698","09","287"
"6699","09","287"
"6700","09","287"
"6704","09","287"
"6707","09","287"
"6720","09","287"
"6724","09","287"
"6725","09","287"
"6727","09","287"
"6728","09","287"
"6729","09","287"
"6740","09","287"
"6760","09","287"
"6780","09","287"
"6796","09","287"
"6797","09","287"
"6798","09","287"
"6800","09","287"
"6820","09","287"
"6840","09","287"
"6850","09","287"
"6860","09","287"
"6870","09","287"
"6880","09","287"
"6890","09","287"
"6900","09","287"
"6920","09","287"
"6995","09","287"
"7000","09","277"
"7010","09","277"
"7020","09","277"
"7040","09","277"
"7050","09","277"
"7058","09","277"
"7059","09","277"
"7060","09","277"
"7069","09","277"
"7070","09","277"
"7080","09","277"
"7089","09","277"
"7090","09","277"
"7100","09","277"
"7109","09","277"
"7110","09","277"
"7119","09","277"
"7130","09","277"
"7140","09","277"
"7144","09","277"
"7149","09","277"
"7150","09","277"
"7160","09","277"
"7164","09","277"
"7170","09","277"
"7180","09","277"
"7183","09","277"
"7187","09","277"
"7188","09","277"
"7189","09","277"
"7190","09","277"
"7199","09","277"
"7200","09","277"
"7207","09","277"
"7208","09","277"
"7209","09","277"
"7210","09","277"
"7214","09","277"
"7220","09","277"
"7224","09","277"
"7230","09","277"
"7239","09","277"
"7240","09","277"
"7248","09","277"
"7249","09","277"
"7250","09","277"
"7259","09","277"
"7268","09","277"
"7269","09","277"
"7270","09","277"
"7279","09","277"
"7280","09","277"
"7290","09","277"
"7300","09","277"
"7309","09","277"
"7310","09","277"
"7320","09","277"
"7323","09","277"
"7326","09","277"
"7327","09","277"
"7328","09","277"
"7329","09","277"
"7330","09","277"
"7340","09","277"
"7349","09","277"
"7350","09","277"
"7359","09","277"
"7360","09","277"
"7363","09","277"
"7369","09","277"
"7370","09","277"
"7380","09","277"
"7400","09","277"
"7410","09","277"
"7420","09","277"
"7430","09","277"
"7440","09","277"
"7450","09","277"
"7455","09","277"
"7456","09","277"
"7457","09","277"
"7458","09","277"
"7459","09","277"
"7460","09","277"
"7469","09","277"
"7470","09","277"
"7480","09","277"
"7500","09","277"
"7509","09","277"
"7510","09","277"
"7520","09","277"
"7530","09","277"
"7540","09","277"
"7548","09","277"
"7549","09","277"
"7550","09","277"
